Customer_ID,Customer_Name,City,State,Customer_Segment
CUST-0001,Riya Banerjee,Chennai,Tamil Nadu,Standard
CUST-0002,Vikram Gupta,Kolkata,West Bengal,Standard
CUST-0003,Priya Nair,Kolkata,West Bengal,Frequent Buyer
CUST-0004,Ananya Nair,Hyderabad,Telangana,Frequent Buyer
CUST-0005,Ananya Chopra,Hyderabad,Telangana,Standard
CUST-0006,Diya Rao,Jaipur,Rajasthan,Standard
CUST-0007,Ishita Reddy,Jaipur,Rajasthan,Standard
CUST-0008,Diya Kulkarni,Pune,Maharashtra,VIP Customer
CUST-0009,Rohan Joshi,Ahmedabad,Gujarat,Frequent Buyer
CUST-0010,Siddharth Kulkarni,Bengaluru,Karnataka,Standard
CUST-0011,Kavya Verma,Ahmedabad,Gujarat,Standard
CUST-0012,Ananya Mehta,Jaipur,Rajasthan,Standard
CUST-0013,Diya Banerjee,Chennai,Tamil Nadu,Frequent Buyer
CUST-0014,Kavya Sharma,Pune,Maharashtra,Standard
CUST-0015,Priya Verma,Kolkata,West Bengal,Standard
CUST-0016,Pooja Mehta,Hyderabad,Telangana,Standard
CUST-0017,Diya Verma,Thane,Maharashtra,Standard
CUST-0018,Kavya Reddy,Delhi,Delhi,VIP Customer
CUST-0019,Kavya Kulkarni,Kolkata,West Bengal,Standard
CUST-0020,Ishita Banerjee,Kolkata,West Bengal,Standard
CUST-0021,Rahul Rao,Bengaluru,Karnataka,Standard
CUST-0022,Vikram Rao,Mumbai,Maharashtra,Frequent Buyer
CUST-0023,Karan Patel,Kolkata,West Bengal,Frequent Buyer
CUST-0024,Rohan Sharma,Pune,Maharashtra,Frequent Buyer
CUST-0025,Vikram Gupta,Jaipur,Rajasthan,Standard
CUST-0026,Siddharth Nair,Chennai,Tamil Nadu,Standard
CUST-0027,Ishita Kulkarni,Mumbai,Maharashtra,Standard
CUST-0028,Aditya Patel,Kolkata,West Bengal,Standard
CUST-0029,Rohan Sharma,Hyderabad,Telangana,Standard
CUST-0030,Aarav Joshi,Pune,Maharashtra,Standard
CUST-0031,Siddharth Reddy,Chennai,Tamil Nadu,Standard
CUST-0032,Rahul Patel,Jaipur,Rajasthan,Standard
CUST-0033,Varun Mehta,Chennai,Tamil Nadu,Standard
CUST-0034,Aditya Kulkarni,Delhi,Delhi,Frequent Buyer
CUST-0035,Rahul Kulkarni,Delhi,Delhi,Standard
CUST-0036,Ananya Gupta,Hyderabad,Telangana,Frequent Buyer
CUST-0037,Sneha Chopra,Ahmedabad,Gujarat,Frequent Buyer
CUST-0038,Karan Gupta,Delhi,Delhi,Standard
CUST-0039,Vikram Shah,Ahmedabad,Gujarat,Standard
CUST-0040,Riya Banerjee,Ahmedabad,Gujarat,Frequent Buyer
CUST-0041,Sneha Nair,Chennai,Tamil Nadu,Standard
CUST-0042,Aarav Patel,Bengaluru,Karnataka,Standard
CUST-0043,Amit Singh,Kolkata,West Bengal,Standard
CUST-0044,Siddharth Mehta,Kolkata,West Bengal,Standard
CUST-0045,Riya Chopra,Mumbai,Maharashtra,Standard
CUST-0046,Rohan Sharma,Thane,Maharashtra,Standard
CUST-0047,Varun Singh,Kolkata,West Bengal,Frequent Buyer
CUST-0048,Aditya Sharma,Thane,Maharashtra,Frequent Buyer
CUST-0049,Diya Gupta,Thane,Maharashtra,VIP Customer
CUST-0050,Priya Kulkarni,Chennai,Tamil Nadu,Frequent Buyer
CUST-0051,Sneha Nair,Mumbai,Maharashtra,Standard
CUST-0052,Sneha Deshmukh,Thane,Maharashtra,Standard
CUST-0053,Siddharth Chopra,Mumbai,Maharashtra,Standard
CUST-0054,Riya Chopra,Pune,Maharashtra,Frequent Buyer
CUST-0055,Rohan Reddy,Pune,Maharashtra,Standard
CUST-0056,Riya Rao,Chennai,Tamil Nadu,Frequent Buyer
CUST-0057,Meera Nair,Chennai,Tamil Nadu,Standard
CUST-0058,Meera Kulkarni,Ahmedabad,Gujarat,Standard
CUST-0059,Rohan Kulkarni,Jaipur,Rajasthan,Frequent Buyer
CUST-0060,Ishita Rao,Jaipur,Rajasthan,Standard
CUST-0061,Ananya Sharma,Mumbai,Maharashtra,Standard
CUST-0062,Aditya Singh,Bengaluru,Karnataka,Standard
CUST-0063,Rohan Patel,Ahmedabad,Gujarat,Frequent Buyer
CUST-0064,Riya Nair,Pune,Maharashtra,Standard
CUST-0065,Riya Singh,Mumbai,Maharashtra,VIP Customer
CUST-0066,Sneha Nair,Delhi,Delhi,Frequent Buyer
CUST-0067,Ishita Shah,Pune,Maharashtra,VIP Customer
CUST-0068,Meera Shah,Ahmedabad,Gujarat,Standard
CUST-0069,Rohan Banerjee,Hyderabad,Telangana,Standard
CUST-0070,Priya Sharma,Mumbai,Maharashtra,Standard
CUST-0071,Neha Kulkarni,Delhi,Delhi,Frequent Buyer
CUST-0072,Ishita Chopra,Mumbai,Maharashtra,Standard
CUST-0073,Kavya Shah,Hyderabad,Telangana,VIP Customer
CUST-0074,Neha Singh,Pune,Maharashtra,Standard
CUST-0075,Aarav Chopra,Bengaluru,Karnataka,Frequent Buyer
CUST-0076,Aditya Chopra,Mumbai,Maharashtra,Frequent Buyer
CUST-0077,Priya Patel,Pune,Maharashtra,Frequent Buyer
CUST-0078,Diya Chopra,Mumbai,Maharashtra,Standard
CUST-0079,Sneha Patel,Bengaluru,Karnataka,Frequent Buyer
CUST-0080,Varun Shah,Bengaluru,Karnataka,VIP Customer
CUST-0081,Aarav Mehta,Pune,Maharashtra,Standard
CUST-0082,Aarav Patel,Bengaluru,Karnataka,Standard
CUST-0083,Pooja Reddy,Ahmedabad,Gujarat,Frequent Buyer
CUST-0084,Neha Shah,Pune,Maharashtra,Standard
CUST-0085,Ananya Reddy,Hyderabad,Telangana,Standard
CUST-0086,Varun Nair,Thane,Maharashtra,Frequent Buyer
CUST-0087,Ishita Kulkarni,Hyderabad,Telangana,Standard
CUST-0088,Rohan Verma,Chennai,Tamil Nadu,Frequent Buyer
CUST-0089,Vikram Rao,Jaipur,Rajasthan,Frequent Buyer
CUST-0090,Aarav Nair,Delhi,Delhi,Frequent Buyer
CUST-0091,Amit Chopra,Pune,Maharashtra,Standard
CUST-0092,Nikhil Rao,Chennai,Tamil Nadu,Standard
CUST-0093,Varun Mehta,Hyderabad,Telangana,Standard
CUST-0094,Karan Chopra,Hyderabad,Telangana,Standard
CUST-0095,Diya Chopra,Kolkata,West Bengal,Frequent Buyer
CUST-0096,Sneha Banerjee,Delhi,Delhi,Standard
CUST-0097,Neha Mehta,Pune,Maharashtra,Standard
CUST-0098,Pooja Shah,Thane,Maharashtra,Standard
CUST-0099,Nikhil Chopra,Kolkata,West Bengal,Frequent Buyer
CUST-0100,Aditya Gupta,Jaipur,Rajasthan,VIP Customer
CUST-0101,Siddharth Chopra,Chennai,Tamil Nadu,Standard
CUST-0102,Aarav Reddy,Jaipur,Rajasthan,Standard
CUST-0103,Ishita Rao,Hyderabad,Telangana,Frequent Buyer
CUST-0104,Aarav Banerjee,Bengaluru,Karnataka,Frequent Buyer
CUST-0105,Rohan Chopra,Bengaluru,Karnataka,Standard
CUST-0106,Aditya Deshmukh,Pune,Maharashtra,Standard
CUST-0107,Amit Sharma,Bengaluru,Karnataka,Standard
CUST-0108,Aditya Chopra,Delhi,Delhi,Standard
CUST-0109,Ishita Joshi,Jaipur,Rajasthan,Standard
CUST-0110,Aditya Kulkarni,Mumbai,Maharashtra,Standard
CUST-0111,Aditya Mehta,Hyderabad,Telangana,Standard
CUST-0112,Nikhil Gupta,Jaipur,Rajasthan,Standard
CUST-0113,Aditya Banerjee,Kolkata,West Bengal,Standard
CUST-0114,Ishita Kulkarni,Kolkata,West Bengal,VIP Customer
CUST-0115,Diya Verma,Delhi,Delhi,Standard
CUST-0116,Aarav Banerjee,Mumbai,Maharashtra,Standard
CUST-0117,Diya Patel,Bengaluru,Karnataka,Frequent Buyer
CUST-0118,Pooja Singh,Kolkata,West Bengal,Standard
CUST-0119,Nikhil Verma,Thane,Maharashtra,Frequent Buyer
CUST-0120,Neha Banerjee,Mumbai,Maharashtra,Frequent Buyer
CUST-0121,Ananya Patel,Jaipur,Rajasthan,Standard
CUST-0122,Meera Banerjee,Delhi,Delhi,VIP Customer
CUST-0123,Priya Rao,Kolkata,West Bengal,Frequent Buyer
CUST-0124,Priya Gupta,Ahmedabad,Gujarat,Standard
CUST-0125,Rohan Sharma,Kolkata,West Bengal,Frequent Buyer
CUST-0126,Meera Sharma,Delhi,Delhi,Frequent Buyer
CUST-0127,Aditya Chopra,Kolkata,West Bengal,Standard
CUST-0128,Rohan Rao,Chennai,Tamil Nadu,Standard
CUST-0129,Riya Rao,Mumbai,Maharashtra,Standard
CUST-0130,Varun Mehta,Pune,Maharashtra,Standard
CUST-0131,Nikhil Chopra,Ahmedabad,Gujarat,Standard
CUST-0132,Nikhil Gupta,Delhi,Delhi,Frequent Buyer
CUST-0133,Aditya Patel,Bengaluru,Karnataka,Frequent Buyer
